sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,75,細懸浮微粒,普通,1,0.36,61.8,52.6,44,31,9.8,10.9,1,0.7,91,"2024/02/13 17:00:00",0.3,25.4,36,0,121.760056,25.129167,1
汐止,新北市,54,細懸浮微粒,普通,3.6,0.26,51.9,49.6,29,20,10.1,11.5,1.3,1.2,76,"2024/02/13 17:00:00",0.3,16.7,25,1,121.64081,25.06624,2
萬里,新北市,71,細懸浮微粒,普通,0.9,0.34,65.3,54.8,66,31,6.7,8,1.3,1.1,55,"2024/02/13 17:00:00",0.3,23.5,50,1,121.689881,25.179667,3
新店,新北市,56,細懸浮微粒,普通,1.2,0.39,62.4,56.6,42,25,11.8,12.4,0.6,2.1,355,"2024/02/13 17:00:00",0.2,17.5,28,0,121.537778,24.977222,4
土城,新北市,54,臭氧八小時,普通,1.8,0.32,59,56.5,34,17,7.9,9,1.1,2.1,312,"2024/02/13 17:00:00",0.2,15.8,25,1,121.451861,24.982528,5
板橋,新北市,52,細懸浮微粒,普通,1.7,0.38,55.5,55.7,28,15,9,10.1,1.1,2.2,308,"2024/02/13 17:00:00",0.3,16.1,25,0,121.458667,25.012972,6
新莊,新北市,59,細懸浮微粒,普通,1,0.24,54.3,53.7,27,20,6.1,7.4,1.3,1.4,222,"2024/02/13 17:00:00",0.2,18.7,26,0,121.4325,25.037972,7
菜寮,新北市,71,細懸浮微粒,普通,1.4,0.4,60.7,54,47,31,10.9,12,1.1,2.3,285,"2024/02/13 17:00:00",0.3,23.5,36,1,121.481028,25.06895,8
林口,新北市,61,臭氧八小時,普通,1.3,0.32,58.5,58,44,21,7.2,8.5,1.3,1.4,322,"2024/02/13 17:00:00",0.2,19.2,31,1,121.36548982,25.07798949,9
淡水,新北市,76,細懸浮微粒,普通,1.1,0.34,60.9,48.8,50,28,8.7,9.7,1,,,"2024/02/13 17:00:00",0.3,25.6,41,0,121.449239,25.1645,10
士林,臺北市,55,細懸浮微粒,普通,1.3,0.31,59.6,56.5,37,20,9.1,10,0.8,1.3,341,"2024/02/13 17:00:00",0.2,17.1,29,0,121.51666356,25.10334003,11
中山,臺北市,66,細懸浮微粒,普通,2.2,0.47,47.6,47.8,50,25,21.9,26.3,4.4,1.5,4,"2024/02/13 17:00:00",0.4,21.4,35,1,121.526528,25.062361,12
萬華,臺北市,70,細懸浮微粒,普通,1.3,0.54,52.6,53.7,42,32,18.5,20.7,2.2,1.1,27,"2024/02/13 17:00:00",0.4,23.1,33,0,121.507972,25.046503,13
古亭,臺北市,60,細懸浮微粒,普通,1.4,0.36,56.1,54.9,41,23,10.9,11.4,0.4,1.3,65,"2024/02/13 17:00:00",0.3,19,28,1,121.529556,25.020608,14
松山,臺北市,71,細懸浮微粒,普通,1.9,0.38,54,52.5,45,31,15.4,17.6,2.2,1.6,284,"2024/02/13 17:00:00",0.3,23.7,31,1,121.578611,25.05,15
大同,臺北市,77,細懸浮微粒,普通,1.6,0.57,49.1,42,50,31,20.5,23.9,3.3,-,-,"2024/02/13 17:00:00",0.7,25.9,39,1,121.51342074,25.06331455,16
桃園,桃園市,53,細懸浮微粒,普通,1.4,0.32,52.9,52.8,46,26,11.3,12.6,1.2,1.9,308,"2024/02/13 17:00:00",0.2,16.2,30,0,121.30500531,24.9947107,17
大園,桃園市,78,細懸浮微粒,普通,1.7,0.37,54.8,48.9,51,30,10.2,11.5,1.2,1.4,353,"2024/02/13 17:00:00",0.3,26.6,42,1,121.20251473,25.06100357,18
觀音,桃園市,75,細懸浮微粒,普通,0.9,0.27,59.5,51.6,33,18,6.2,7.4,1.2,2.4,260,"2024/02/13 17:00:00",0.3,25.3,40,0,121.08283092,25.03556747,19
平鎮,桃園市,47,,良好,1.2,0.26,50.2,51.3,36,20,5.8,7.2,1.3,2,282,"2024/02/13 17:00:00",0.2,13.3,24,1,121.203986,24.952786,20
龍潭,桃園市,47,,良好,1.6,0.24,50.9,51.5,28,14,6.1,6.8,0.6,3.1,265,"2024/02/13 17:00:00",0.2,12.4,23,1,121.21645772,24.86400048,21
湖口,新竹縣,81,細懸浮微粒,普通,0.6,0.28,60.4,54.2,49,32,4.7,5.3,0.5,1.8,273,"2024/02/13 17:00:00",0.2,27.7,39,0,121.03886894,24.90009696,22
竹東,新竹縣,47,,良好,0.7,0.22,51.6,51.5,20,13,3.2,4.2,1,2.1,266,"2024/02/13 17:00:00",0.2,13.5,20,0,121.08895493,24.74091408,23
新竹,新竹市,84,細懸浮微粒,普通,2.8,0.33,56.7,50.5,42,24,11.2,12.7,1.4,1.6,301,"2024/02/13 17:00:00",0.3,28.9,41,2,120.97236752,24.8056356,24
頭份,苗栗縣,82,細懸浮微粒,普通,2.1,0.31,59.6,53.7,42,30,5.4,6.8,1.4,1.6,295,"2024/02/13 17:00:00",0.3,27.9,42,2,120.89869286,24.69690679,25
苗栗,苗栗縣,48,,良好,2.3,0.24,53.4,48.3,30,16,3.4,4.1,0.7,2.8,6,"2024/02/13 17:00:00",0.2,14.7,27,1,120.82011468,24.56499183,26
三義,苗栗縣,54,臭氧八小時,普通,1.3,0.25,59.5,56,23,16,2,3.4,1.4,1.3,347,"2024/02/13 17:00:00",0.2,12.5,20,1,120.75956754,24.38248443,27
豐原,臺中市,54,臭氧八小時,普通,2.4,0.24,60.6,56.1,23,15,2.7,3.6,0.9,1.5,310,"2024/02/13 17:00:00",0.2,13.8,21,2,120.74252414,24.25699731,28
沙鹿,臺中市,80,細懸浮微粒,普通,1,0.23,57.1,46.9,31,18,,,,2.5,9,"2024/02/13 17:00:00",0.3,27.2,46,2,120.568794,24.225628,29
大里,臺中市,53,細懸浮微粒,普通,3,0.35,51,51.3,20,12,9.2,10.4,1.2,1.9,338,"2024/02/13 17:00:00",0.3,16.5,26,1,120.67844444,24.09961111,30
忠明,臺中市,56,細懸浮微粒,普通,2.1,0.25,57.5,50,24,13,6.9,7.2,0.3,0.3,323,"2024/02/13 17:00:00",0.3,17.6,32,2,120.641092,24.151958,31
西屯,臺中市,63,細懸浮微粒,普通,1.9,0.22,57,48.3,26,17,6.4,8.4,1.9,2,353,"2024/02/13 17:00:00",0.2,20.2,31,2,120.616917,24.162197,32
